acousticness,analysis_url,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist_name,track_name,popularity,bbhot,artist_popularity,artist_followers
0.0405,https://api.spotify.com/v1/audio-analysis/2EgB4n6XyBsuNUbuarr4eG,0.884,191938,0.698,2EgB4n6XyBsuNUbuarr4eG,0,0,0.195,-9.101,1,0.364,140.068,4,https://api.spotify.com/v1/tracks/2EgB4n6XyBsuNUbuarr4eG,audio_features,spotify:track:2EgB4n6XyBsuNUbuarr4eG,0.575,Rich The Kid,New Freezer (feat. Kendrick Lamar),76,0,86,1585212
0.0375,https://api.spotify.com/v1/audio-analysis/0QVISdPWRllAmoDBG3DEHU,0.852,174653,0.691,0QVISdPWRllAmoDBG3DEHU,0,6,0.0517,-5.175,0,0.139,61.115,4,https://api.spotify.com/v1/tracks/0QVISdPWRllAmoDBG3DEHU,audio_features,spotify:track:0QVISdPWRllAmoDBG3DEHU,0.658,Plies,Rock,59,1,68,870286
0.0217,https://api.spotify.com/v1/audio-analysis/3h3pOvw6hjOvZxRUseB7h9,0.54,204991,0.381,3h3pOvw6hjOvZxRUseB7h9,0.000687,7,0.305,-14.323,1,0.0347,155.882,4,https://api.spotify.com/v1/tracks/3h3pOvw6hjOvZxRUseB7h9,audio_features,spotify:track:3h3pOvw6hjOvZxRUseB7h9,0.343,girl in red,i wanna be your girlfriend,65,0,65,197902
0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368,0.539,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158,Bad Bunny,MIA (feat. Drake),94,0,93,12415147
0.682,https://api.spotify.com/v1/audio-analysis/6MXJdqTuSDXkG21JHWiGko,0.452,255205,0.298,6MXJdqTuSDXkG21JHWiGko,0,2,0.128,-11.292,1,0.0444,77.491,5,https://api.spotify.com/v1/tracks/6MXJdqTuSDXkG21JHWiGko,audio_features,spotify:track:6MXJdqTuSDXkG21JHWiGko,0.158,Aquilo,Sorry,67,1,64,176979
0.0227,https://api.spotify.com/v1/audio-analysis/05mAIVLkIWc2d1UBYZBCp8,0.739,189000,0.742,05mAIVLkIWc2d1UBYZBCp8,1.39E-06,7,0.229,-4.586,1,0.0329,124.016,4,https://api.spotify.com/v1/tracks/05mAIVLkIWc2d1UBYZBCp8,audio_features,spotify:track:05mAIVLkIWc2d1UBYZBCp8,0.659,Charli XCX,1999,82,1,78,1551587
0.000958,https://api.spotify.com/v1/audio-analysis/4Xc169q96Jad1j67n3IP1S,0.493,210900,0.998,4Xc169q96Jad1j67n3IP1S,1.86E-06,4,0.252,-3.487,0,0.109,74.99,4,https://api.spotify.com/v1/tracks/4Xc169q96Jad1j67n3IP1S,audio_features,spotify:track:4Xc169q96Jad1j67n3IP1S,0.437,Five Finger Death Punch,Fake,57,1,79,3106228
0.00329,https://api.spotify.com/v1/audio-analysis/2N977oXVcbzWqT4m3U698h,0.417,214387,0.669,2N977oXVcbzWqT4m3U698h,0.000169,1,0.0403,-5.544,1,0.0296,76.988,4,https://api.spotify.com/v1/tracks/2N977oXVcbzWqT4m3U698h,audio_features,spotify:track:2N977oXVcbzWqT4m3U698h,0.539,Wallows,Ground,59,1,72,267374
0.0416,https://api.spotify.com/v1/audio-analysis/2l4zJarZ3jSihQGUzsbLdK,0.746,133407,0.622,2l4zJarZ3jSihQGUzsbLdK,0,9,0.0933,-5.976,1,0.0533,108.015,4,https://api.spotify.com/v1/tracks/2l4zJarZ3jSihQGUzsbLdK,audio_features,spotify:track:2l4zJarZ3jSihQGUzsbLdK,0.361,Smooky MarGielaa,Vlone Flex,64,0,63,87094
0.201,https://api.spotify.com/v1/audio-analysis/2t4m6SHDH2BEZ7hZa0b3QX,0.787,169258,0.761,2t4m6SHDH2BEZ7hZa0b3QX,0,0,0.343,-4.509,1,0.0625,139.961,4,https://api.spotify.com/v1/tracks/2t4m6SHDH2BEZ7hZa0b3QX,audio_features,spotify:track:2t4m6SHDH2BEZ7hZa0b3QX,0.698,Jelly Roll,Heaven,51,1,67,162057
